attractor_id,length,trajectory_length_mean,trajectory_length_SD,relative_frequency
attractor_1,1,11.018409729,2.573900999723755,0.0625
attractor_2,1,11.018409729,2.573900999723755,0.0625
attractor_3,1,7.1235351562,1.781763317258135,0.0625
attractor_4,1,7.741394043,1.496685936711115,0.0625
attractor_5,1,7.1235351563,1.781763317258135,0.0625
attractor_6,1,7.7492675781,1.7245284953608995,0.0625
attractor_7,1,7.741394043,1.496685936711115,0.0625
attractor_8,1,7.333984375,1.4469044866375687,0.0625
attractor_9,1,6.8620605469,1.6020818034335458,0.0625
attractor_10,1,6.58203125,1.1009182040841892,0.0625
attractor_11,6,10.0140362465,2.8342829556681557,0.04620170593261719
attractor_12,6,12.5101608278,3.4500928347044018,0.04589653015136719
attractor_13,8,19.54049894,8.640769996976887,0.032837867736816406
attractor_14,8,19.54049894,8.640769996976884,0.032837867736816406
attractor_15,13,7.575435556,2.5215366582580407,0.031365394592285156
attractor_16,5,12.5014206852,3.2128537001203497,0.02936840057373047
attractor_17,2,9.3238943136,2.1653180398995495,0.016603469848632812
attractor_18,2,8.619251024,1.746407654367921,0.016298294067382812
attractor_19,1,21.1569941789,7.050910941051495,0.016219139099121094
attractor_20,1,21.1569941789,7.050910941051496,0.016219139099121094
attractor_21,18,8.3482232751,2.2296198248571892,0.01610279083251953
attractor_22,13,10.74729556,4.69705998826068,0.015207290649414062
attractor_23,1,6.9151772634,1.2109243637614988,0.009764671325683594
attractor_24,1,5.6302861608,0.6189024177657165,0.009764671325683594
attractor_25,8,7.0322209436,2.488959370522939,0.005801200866699219
attractor_26,8,7.0322209436,2.488959370522938,0.005801200866699219
attractor_27,8,5.5853704756,1.5215458999426648,0.005032539367675781
attractor_28,8,5.5853704756,1.5215458999426652,0.005032539367675781
attractor_29,8,7.4913265306,2.081729923439815,0.0032711029052734375
attractor_30,8,6.8551749271,1.681169149714218,0.0032711029052734375
attractor_31,4,5.3883083596,0.6891348662030129,0.00241851806640625
attractor_32,4,5.1674881703,0.3949651344205936,0.00241851806640625
attractor_33,4,6.4678983834,1.7154402489635365,0.0020647048950195312
attractor_34,4,6.4678983834,1.715440248963536,0.0020647048950195312
attractor_35,6,6.5282467532,1.9585713929036062,0.0011014938354492188
attractor_36,2,5.0420315236,0.20066126563641942,0.0005445480346679688
attractor_37,2,5.0420315236,0.20066126563641948,0.0005445480346679688
attractor_38,2,5.4465725806,0.9615439075034264,0.0004730224609375
attractor_39,2,5.2510080645,0.636981750453606,0.0004730224609375
