node 1,node 2,rho,p-value
CK,AHK,1.00000,0.00000
CK,AHP,1.00000,0.00000
CK,BARR,1.00000,0.00000
AHK,AHP,1.00000,0.00000
AHK,BARR,1.00000,0.00000
AHP,BARR,1.00000,0.00000
IPT,AHP6,-1.00000,0.00000
ERF,WOX4,1.00000,0.00000
IAA,ARF,1.00000,0.00000
IAA,ENDO,-1.00000,0.00000
BZR1,WRKY,1.00000,0.00000
STM,LHW,-1.00000,0.00000
GA,GID1,1.00000,0.00000
ARF,ENDO,-1.00000,0.00000
TMO5,LOG3,1.00000,0.00000
CK,AARR,0.95038,0.00000
AHK,AARR,0.95038,0.00000
AHP,AARR,0.95038,0.00000
BARR,AARR,0.95038,0.00000
IAA0,IAA,0.93009,0.00000
IAA0,ARF,0.93009,0.00000
IAA0,ENDO,-0.93009,0.00000
IPT,IAA,-0.92776,0.00000
IPT,ARF,-0.92776,0.00000
IPT,ENDO,0.92776,0.00000
AHP6,IAA,0.92776,0.00000
AHP6,ARF,0.92776,0.00000
AHP6,ENDO,-0.92776,0.00000
CKX,STM,0.89813,0.00000
CKX,LHW,-0.89813,0.00000
PIN,TMO5,0.88810,0.00000
PIN,LOG3,0.88810,0.00000
HB8,TMO5,0.86494,0.00000
HB8,LOG3,0.86494,0.00000
IPT,STM,-0.83026,0.00000
IPT,LHW,0.83026,0.00000
AHP6,STM,0.83026,0.00000
AHP6,LHW,-0.83026,0.00000
CKX,IAA,0.82776,0.00000
CKX,ARF,0.82776,0.00000
CKX,ENDO,-0.82776,0.00000
IPT,CKX,-0.81502,0.00000
CKX,AHP6,0.81502,0.00000
GA,DELL,-0.80692,0.00000
GID1,DELL,-0.80692,0.00000
CK0,CK,0.78746,0.00000
CK0,AHK,0.78746,0.00000
CK0,AHP,0.78746,0.00000
CK0,BARR,0.78746,0.00000
CK,ERF,0.78166,0.00000
CK,WOX4,0.78166,0.00000
AHK,ERF,0.78166,0.00000
AHK,WOX4,0.78166,0.00000
AHP,ERF,0.78166,0.00000
AHP,WOX4,0.78166,0.00000
BARR,ERF,0.78166,0.00000
BARR,WOX4,0.78166,0.00000
IAA,STM,0.77203,0.00000
IAA,LHW,-0.77203,0.00000
STM,ARF,0.77203,0.00000
STM,ENDO,-0.77203,0.00000
ARF,LHW,-0.77203,0.00000
LHW,ENDO,0.77203,0.00000
AARR,ERF,0.77003,0.00000
AARR,WOX4,0.77003,0.00000
BR,BZR1,0.75605,0.00000
BR,WRKY,0.75605,0.00000
IPT,IAA0,-0.74559,0.00000
AHP6,IAA0,0.74559,0.00000
PIN,HB8,0.70651,0.00000
CKX,IAA0,0.70330,0.00000
IAA0,TMO5,0.70093,0.00000
IAA0,LOG3,0.70093,0.00000
CK0,AARR,0.67876,0.00000
PIN,IAA0,0.67489,0.00000
BZR1,HB8,0.66059,0.00000
HB8,WRKY,0.66059,0.00000
ERF,BZR1,0.60203,0.00000
ERF,WRKY,0.60203,0.00000
BZR1,WOX4,0.60203,0.00000
WOX4,WRKY,0.60203,0.00000
IAA0,STM,0.57157,0.00000
IAA0,LHW,-0.57157,0.00000
BR,STM,-0.57157,0.00000
BR,LHW,0.57157,0.00000
ERF,STM,-0.55471,0.00000
ERF,LHW,0.55471,0.00000
STM,WOX4,-0.55471,0.00000
WOX4,LHW,0.55471,0.00000
CKX,ERF,-0.54815,0.00000
CKX,WOX4,-0.54815,0.00000
IAA0,HB8,0.54489,0.00000
BR,HB8,0.54489,0.00000
BZR1,TMO5,0.53943,0.00000
BZR1,LOG3,0.53943,0.00000
TMO5,WRKY,0.53943,0.00000
LOG3,WRKY,0.53943,0.00000
ERF,BR,0.51636,0.00000
BR,WOX4,0.51636,0.00000
AARR,STM,-0.49989,0.00000
AARR,LHW,0.49989,0.00000
CK0,ERF,0.49343,0.00000
CK0,WOX4,0.49343,0.00000
IPT,AARR,0.48465,0.00000
AARR,AHP6,-0.48465,0.00000
IAA,TMO5,0.46385,0.00000
IAA,LOG3,0.46385,0.00000
ARF,TMO5,0.46385,0.00000
ARF,LOG3,0.46385,0.00000
TMO5,ENDO,-0.46385,0.00000
LOG3,ENDO,-0.46385,0.00000
PIN,BZR1,0.45438,0.00000
PIN,WRKY,0.45438,0.00000
CKX,AARR,-0.43815,0.00000
BZR1,STM,-0.43213,0.00000
BZR1,LHW,0.43213,0.00000
STM,WRKY,-0.43213,0.00000
WRKY,LHW,0.43213,0.00000
CK,IPT,0.42603,0.00000
CK,AHP6,-0.42603,0.00000
AHK,IPT,0.42603,0.00000
AHK,AHP6,-0.42603,0.00000
AHP,IPT,0.42603,0.00000
AHP,AHP6,-0.42603,0.00000
BARR,IPT,0.42603,0.00000
BARR,AHP6,-0.42603,0.00000
CK,STM,-0.42276,0.00000
CK,LHW,0.42276,0.00000
AHK,STM,-0.42276,0.00000
AHK,LHW,0.42276,0.00000
AHP,STM,-0.42276,0.00000
AHP,LHW,0.42276,0.00000
BARR,STM,-0.42276,0.00000
BARR,LHW,0.42276,0.00000
BR,TMO5,0.41929,0.00000
BR,LOG3,0.41929,0.00000
CKX,BR,-0.41846,0.00000
IPT,ERF,0.40388,0.00000
IPT,WOX4,0.40388,0.00000
ERF,AHP6,-0.40388,0.00000
AHP6,WOX4,-0.40388,0.00000
AARR,IAA,-0.40009,0.00000
AARR,ARF,-0.40009,0.00000
AARR,ENDO,0.40009,0.00000
IAA,DELL,-0.39266,0.00000
ARF,DELL,-0.39266,0.00000
DELL,ENDO,0.39266,0.00000
IPT,DELL,0.38283,0.00000
AHP6,DELL,-0.38283,0.00000
BZR1,GA,0.36818,0.00000
BZR1,GID1,0.36818,0.00000
GA,WRKY,0.36818,0.00000
GID1,WRKY,0.36818,0.00000
CK,CKX,-0.36509,0.00000
AHK,CKX,-0.36509,0.00000
AHP,CKX,-0.36509,0.00000
BARR,CKX,-0.36509,0.00000
PIN,IAA,0.36507,0.00000
PIN,ARF,0.36507,0.00000
PIN,ENDO,-0.36507,0.00000
PIN,BR,0.35902,0.00000
CK,PIN,0.35003,0.00000
AHK,PIN,0.35003,0.00000
AHP,PIN,0.35003,0.00000
BARR,PIN,0.35003,0.00000
BZR1,DELL,-0.34675,0.00000
DELL,WRKY,-0.34675,0.00000
STM,DELL,-0.34658,0.00000
DELL,LHW,0.34658,0.00000
IAA,HB8,0.33299,0.00000
ARF,HB8,0.33299,0.00000
HB8,ENDO,-0.33299,0.00000
IPT,BR,0.33256,0.00000
AHP6,BR,-0.33256,0.00000
IAA0,DELL,-0.33186,0.00000
ERF,HB8,0.32664,0.00000
HB8,WOX4,0.32664,0.00000
ERF,IAA,-0.32513,0.00000
ERF,ARF,-0.32513,0.00000
ERF,ENDO,0.32513,0.00000
IAA,WOX4,-0.32513,0.00000
ARF,WOX4,-0.32513,0.00000
WOX4,ENDO,0.32513,0.00000
CKX,BZR1,-0.31808,0.00000
CKX,WRKY,-0.31808,0.00000
STM,HB8,-0.31144,0.00000
HB8,LHW,0.31144,0.00000
AARR,BR,0.30626,0.00000
CK,BR,0.29366,0.00000
AHK,BR,0.29366,0.00000
AHP,BR,0.29366,0.00000
BARR,BR,0.29366,0.00000
CK,IAA,-0.29076,0.00000
CK,ARF,-0.29076,0.00000
CK,ENDO,0.29076,0.00000
AHK,IAA,-0.29076,0.00000
AHK,ARF,-0.29076,0.00000
AHK,ENDO,0.29076,0.00000
AHP,IAA,-0.29076,0.00000
AHP,ARF,-0.29076,0.00000
AHP,ENDO,0.29076,0.00000
BARR,IAA,-0.29076,0.00000
BARR,ARF,-0.29076,0.00000
BARR,ENDO,0.29076,0.00000
ERF,TMO5,0.27188,0.00000
ERF,LOG3,0.27188,0.00000
TMO5,WOX4,0.27188,0.00000
WOX4,LOG3,0.27188,0.00000
CK0,IPT,0.26638,0.00000
CK0,AHP6,-0.26638,0.00000
CK0,PIN,0.26509,0.00000
CK,BZR1,0.26178,0.00000
CK,WRKY,0.26178,0.00000
AHK,BZR1,0.26178,0.00000
AHK,WRKY,0.26178,0.00000
AHP,BZR1,0.26178,0.00000
AHP,WRKY,0.26178,0.00000
BARR,BZR1,0.26178,0.00000
BARR,WRKY,0.26178,0.00000
AARR,IAA0,-0.25078,0.00000
IPT,TMO5,-0.24675,0.00000
IPT,LOG3,-0.24675,0.00000
AHP6,TMO5,0.24675,0.00000
AHP6,LOG3,0.24675,0.00000
ERF,GA,0.24286,0.00000
ERF,GID1,0.24286,0.00000
GA,WOX4,0.24286,0.00000
GID1,WOX4,0.24286,0.00000
AARR,BZR1,0.23732,0.00000
AARR,WRKY,0.23732,0.00000
CK,TMO5,0.23646,0.00000
CK,LOG3,0.23646,0.00000
AHK,TMO5,0.23646,0.00000
AHK,LOG3,0.23646,0.00000
AHP,TMO5,0.23646,0.00000
AHP,LOG3,0.23646,0.00000
BARR,TMO5,0.23646,0.00000
BARR,LOG3,0.23646,0.00000
CKX,DELL,-0.23474,0.00000
PIN,ERF,0.22775,0.00000
PIN,WOX4,0.22775,0.00000
CK,HB8,0.21750,0.00000
AHK,HB8,0.21750,0.00000
AHP,HB8,0.21750,0.00000
BARR,HB8,0.21750,0.00000
IAA0,BZR1,0.19393,0.00000
IAA0,WRKY,0.19393,0.00000
IAA,BR,-0.19139,0.00000
BR,ARF,-0.19139,0.00000
BR,ENDO,0.19139,0.00000
AARR,DELL,0.16890,0.00000
ERF,IAA0,-0.16716,0.00000
IAA0,WOX4,-0.16716,0.00000
AARR,HB8,0.16275,0.00000
IPT,BZR1,0.15130,0.00000
IPT,WRKY,0.15130,0.00000
AHP6,BZR1,-0.15130,0.00000
AHP6,WRKY,-0.15130,0.00000
CKX,GA,-0.14242,0.00000
CKX,GID1,-0.14242,0.00000
PIN,AARR,0.14014,0.00000
PIN,CKX,0.13944,0.00000
CK,DELL,0.13408,0.00000
AHK,DELL,0.13408,0.00000
AHP,DELL,0.13408,0.00000
BARR,DELL,0.13408,0.00000
CK0,IAA,-0.13177,0.00000
CK0,ARF,-0.13177,0.00000
CK0,ENDO,0.13177,0.00000
STM,TMO5,-0.12974,0.00000
STM,LOG3,-0.12974,0.00000
TMO5,LHW,0.12974,0.00000
LOG3,LHW,0.12974,0.00000
IPT,HB8,-0.12609,0.00000
AHP6,HB8,0.12609,0.00000
HB8,DELL,-0.12201,0.00000
BR,DELL,0.11796,0.00000
CKX,TMO5,0.09671,0.00000
CKX,LOG3,0.09671,0.00000
CK,IAA0,-0.09004,0.00000
AHK,IAA0,-0.09004,0.00000
AHP,IAA0,-0.09004,0.00000
BARR,IAA0,-0.09004,0.00000
CK0,DELL,0.08989,0.00000
CK0,HB8,-0.08751,0.00000
PIN,STM,-0.08376,0.00000
PIN,LHW,0.08376,0.00000
TMO5,DELL,-0.08350,0.00000
LOG3,DELL,-0.08350,0.00000
CKX,HB8,-0.07789,0.00000
CK0,TMO5,0.07773,0.00000
CK0,LOG3,0.07773,0.00000
IPT,PIN,-0.07281,0.00000
PIN,AHP6,0.07281,0.00000
AARR,TMO5,0.06864,0.00000
AARR,LOG3,0.06864,0.00000
ERF,DELL,-0.06809,0.00000
WOX4,DELL,-0.06809,0.00000
GA,HB8,0.06687,0.00000
GID1,HB8,0.06687,0.00000
CK0,STM,-0.05291,0.00000
CK0,LHW,0.05291,0.00000
CK,GA,0.04262,0.00000
CK,GID1,0.04262,0.00000
AHK,GA,0.04262,0.00000
AHK,GID1,0.04262,0.00000
AHP,GA,0.04262,0.00000
AHP,GID1,0.04262,0.00000
BARR,GA,0.04262,0.00000
BARR,GID1,0.04262,0.00000
PIN,DELL,-0.04180,0.00000
CK0,CKX,-0.03978,0.00000
CK0,BZR1,-0.02055,0.00000
CK0,WRKY,-0.02055,0.00000
AARR,GA,0.02036,0.00000
AARR,GID1,0.02036,0.00000
IAA,BZR1,0.00787,0.00000
IAA,WRKY,0.00787,0.00000
BZR1,ARF,0.00787,0.00000
BZR1,ENDO,-0.00787,0.00000
ARF,WRKY,0.00787,0.00000
WRKY,ENDO,-0.00787,0.00000
IPT,GA,0.00674,0.00000
IPT,GID1,0.00674,0.00000
AHP6,GA,-0.00674,0.00000
AHP6,GID1,-0.00674,0.00000
PIN,GA,0.00587,0.00000
PIN,GID1,0.00587,0.00000
GA,TMO5,-0.00559,0.00000
GA,LOG3,-0.00559,0.00000
GID1,TMO5,-0.00559,0.00000
GID1,LOG3,-0.00559,0.00000
IAA,GA,-0.00523,0.00000
IAA,GID1,-0.00523,0.00000
GA,ARF,-0.00523,0.00000
GA,ENDO,0.00523,0.00000
GID1,ARF,-0.00523,0.00000
GID1,ENDO,0.00523,0.00000
CK0,IAA0,0.00000,1.00000
CK0,BR,0.00000,1.00000
CK0,GA,0.00000,1.00000
CK0,GID1,0.00000,1.00000
IAA0,BR,0.00000,1.00000
